CCODE,ISO -3 ,Countries,Status,EVI,a,Economic vulnerability index,b,"Share of agriculture, forestry and fisheries",,c,Remoteness and landlockedness,,,d,Export concentration,,e,Export instability,,f,Environmental vulnerability index,g,Share of population living in low elevated coastal zones ,,h,Share of population living in drylands ,,i,Agricultural instability,,j,Victims of disasters (%),,k,HAI,l,Health index,m,Under 5 mortality (per 1000),,n,Prevalence of stunting,,o,"Maternal mortality (per 100,000 live birth)",,p,Education index,q,Lower secondary education completion rate,,r,Adult literacy rate,,s,Gender parity index for lower secondary education completion,,t,GNI per capita ($),u
,,,,,,,,Value,Max-min,,Avg. distance,Adj. value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,
72,BWA,Botswana,ODC,40.9,,48.7,,2,1.7,,"7,965",86.7,95.8,,8.4,73.7,,11.8,23.7,,33.1,,0,0,,100,100,,6.7,27.9,,0.1,4.4,,83.5,,76.4,,38.7,82.6,,21.6,61.8,,185.9,84.9,,90.5,,90.3,89.2,r7,86.8,82.4,s7,1,100,t7,"6,882",
76,BRA,Brazil,ODC,22.3,,28.3,,7.7,11.4,,"8,372",74.2,80.3,,5.1,18.8,,1.4,2.8,,16.4,,2.2,6.4,,10.8,10.8,,2.5,5.4,,0.6,42.9,,93.6,,94.2,,14,97.6,,7.2,90.6,,72.1,94.4,,93.1,,87.7,86.3,,94.7,92.9,,1.1,100,,"7,991",
96,BRN,Brunei Darussalam,ODC,33.6,,33.3,,1.2,0.3,,"5,346",51,51.2,,8,66.4,,7.7,15.4,,34,,20.9,59.6,,0,0,,10.6,49.4,,0.2,26.8,,96.1,,93.3,,9.7,100,,10.9,83.2,,44.2,96.7,,98.9,,104.6,100,r8,97.6,96.8,,1,100,t8,"31,037",
854,BFA,Burkina Faso,LDC,46.9,,48.6,,21,33.9,,"4,550",57.6,59.5,,9.4,89.6,,5.7,11.5,,45.1,,0,0,,91.8,91.8,,5.8,23,,2.1,65.7,,59.9,,66,,78.8,58.3,,21.8,61.4,,263.8,78.3,,53.8,,57.4,52.7,,34.5,12.7,,1,96.2,,835,
108,BDI,Burundi,LDC,37.3,,52.5,,37.1,61.3,,"5,926",71.3,76.7,,7.6,60,,6,11.9,,22.1,,0,0,,0,0,,9.8,45,,0.6,43.3,,45.5,,44.8,,50.5,75.5,,56.5,0,,494.4,59,,46.3,,28.2,20.3,,75.5,67.4,,0.7,51.1,,298,
132,CPV,Cabo Verde,ODC,43.5,,40.3,,4.9,6.7,,"4,920",46.7,45.9,,8.2,70.2,,19.2,38.5,,46.8,,6.5,18.4,,100,100,,5.2,19.8,,0.8,49,,89.6,,93.9,,12.3,98.6,,9.4,86.2,,42.2,96.9,,85.3,,71,67.8,r9,91,88,,1.2,100,t9,"3,612",
116,KHM,Cambodia,LDC,24.1,,33.7,,24.1,39.1,,"4,653",43.8,42.2,,6,33,,10.2,20.5,,14.6,,2,5.7,,0,0,,6.6,27.8,,0.2,24.9,,77.8,,78.1,,23.7,91.7,,22.3,60.4,,218,82.2,,77.5,,58.6,54,,83.8,78.4,,1.2,100,,"1,590",
120,CMR,Cameroon,ODC,27.4,,32.3,,18.5,29.7,,"5,149",49,48.8,,6.8,46,,2.3,4.7,,22.4,,2.3,6.5,,25.4,25.4,,3.6,11.3,,0.7,46.5,,65.2,,59.6,,69.8,63.7,,26.9,51.2,,437.8,63.8,,70.8,,47.2,41.4,,78.2,71,,1,100,,"1,593",
140,CAF,Central African Republic,LDC,34.2,,49.1,,33.3,54.8,,"5,081",63.4,66.7,,7.7,61.4,,6.6,13.3,,19.3,,0,0,,2,2,,2.1,3.4,,3,71.9,,29.4,,34.4,,96.8,47.4,,39.8,25.4,,835.3,30.5,,24.3,,17.2,8,,37.5,16.7,,0.7,48.4,,473,
148,TCD,Chad,LDC,50.2,,51.3,,32.3,53,,"4,335",55.1,56.4,,8.7,79.1,,8.4,16.8,,49.1,,0,0,,89.8,89.8,,6.4,26.5,,4.8,80.1,,21.5,,31.8,,102.9,43.7,,32.3,40.4,,1063.5,11.4,,11.3,,18.1,9,,27.3,3,,0.5,21.8,,922,
